date,open,high,low,close,volume,dividends,stock_splits,ticker,interval
2005-11-01 00:00:00-05:00,3.6556348334715696,4.073074158441342,3.2908816987792515,3.983912229537964,4786700,0.0,0.0,AMSF,1mo
2005-12-01 00:00:00-05:00,3.9312270705021795,4.449986833330786,3.7650618611473603,4.081181049346924,1301400,0.0,0.0,AMSF,1mo
2006-01-01 00:00:00-05:00,4.085231975507878,4.717470432279685,3.8501690536775226,4.150076866149902,524200,0.0,0.0,AMSF,1mo
2006-02-01 00:00:00-05:00,4.056863139513185,4.214922491373372,3.388149218584514,3.8866450786590576,601800,0.0,0.0,AMSF,1mo
2006-03-01 00:00:00-05:00,4.02038703195808,5.066011846065521,3.874486029933564,4.8633713722229,473900,0.0,0.0,AMSF,1mo
2006-04-01 00:00:00-05:00,4.863372295141176,5.248389191205298,4.701260039905579,4.741787910461426,144900,0.0,0.0,AMSF,1mo
2006-05-01 00:00:00-04:00,4.806632811534614,5.4023960257845625,4.174394629743983,4.559411525726318,739500,0.0,0.0,AMSF,1mo
2006-06-01 00:00:00-04:00,4.522936437936509,5.815783198671175,4.154130745763375,5.041696071624756,1269500,0.0,0.0,AMSF,1mo
2006-07-01 00:00:00-04:00,5.220019070480674,5.442923686854478,4.417562528836195,4.539146900177002,238800,0.0,0.0,AMSF,1mo
2006-08-01 00:00:00-04:00,4.721523241202048,5.471293205438658,4.352717612898633,4.3567705154418945,360800,0.0,0.0,AMSF,1mo
2006-09-01 00:00:00-04:00,4.437826559795065,4.76205141423573,3.7691131115473624,3.9717535972595215,615900,0.0,0.0,AMSF,1mo
2006-10-01 00:00:00-04:00,4.04470463582118,5.39023796546523,3.8218003707035066,5.049801826477051,535400,0.0,0.0,AMSF,1mo
2006-11-01 00:00:00-05:00,5.106541320241019,5.734726630618642,4.506725172817749,5.536139011383057,4308600,0.0,0.0,AMSF,1mo
2006-12-01 00:00:00-05:00,5.5766668974004165,6.4115455775817285,5.252442005876002,6.265644550323486,2728700,0.0,0.0,AMSF,1mo
2007-01-01 00:00:00-05:00,6.285907801149665,6.938410396063824,6.188640463220388,6.699294567108154,6056700,0.0,0.0,AMSF,1mo
2007-02-01 00:00:00-05:00,6.699295507528505,7.489593029022217,6.350753584595942,7.489593029022217,6427900,0.0,0.0,AMSF,1mo
2007-03-01 00:00:00-05:00,7.19373717535738,7.858397714899767,6.6344497801591436,7.6395463943481445,6003600,0.0,0.0,AMSF,1mo
2007-04-01 00:00:00-04:00,7.7043936397260815,8.287998627743919,7.20995098653778,8.158308029174805,5467700,0.0,0.0,AMSF,1mo
2007-05-01 00:00:00-04:00,8.146146258128411,8.239360679760313,7.011359272437007,7.493643760681152,3628100,0.0,0.0,AMSF,1mo
2007-06-01 00:00:00-04:00,7.49769885373492,8.077250834759624,7.04378377219425,7.9556660652160645,5393800,0.0,0.0,AMSF,1mo
2007-07-01 00:00:00-04:00,7.984031917198429,8.612216836033838,6.5331267117423755,6.800611972808838,4255700,0.0,0.0,AMSF,1mo
2007-08-01 00:00:00-04:00,6.776298264315807,7.3842197842859205,5.167332919745962,6.666872978210449,6264700,0.0,0.0,AMSF,1mo
2007-09-01 00:00:00-04:00,6.695243782989853,7.465277698313967,6.07921634152563,6.703349590301514,2997800,0.0,0.0,AMSF,1mo
2007-10-01 00:00:00-04:00,6.703349615071773,7.351798742154128,6.273751102114295,6.5533952713012695,3377800,0.0,0.0,AMSF,1mo
2007-11-01 00:00:00-04:00,6.460180258115804,6.828986366321908,5.746885849627474,6.184589385986328,2907500,0.0,0.0,AMSF,1mo
2007-12-01 00:00:00-05:00,6.135955699272458,6.7884580998798905,5.718515907980485,6.285909652709961,3519600,0.0,0.0,AMSF,1mo
