date,open,high,low,close,volume,dividends,stock_splits,ticker,interval
1998-05-18 00:00:00-04:00,10.5,11.5,10.4375,10.875,3458400,0.0,0.0,AXTI,1wk
1998-05-25 00:00:00-04:00,10.75,11.375,10.625,11.125,364700,0.0,0.0,AXTI,1wk
1998-06-01 00:00:00-04:00,11.1875,12.375,10.8125,11.5,989000,0.0,0.0,AXTI,1wk
1998-06-08 00:00:00-04:00,11.125,11.5,10.625,11.0,264700,0.0,0.0,AXTI,1wk
1998-06-15 00:00:00-04:00,10.875,10.875,10.125,10.625,383200,0.0,0.0,AXTI,1wk
1998-06-22 00:00:00-04:00,10.625,16.75,10.5,15.0,530400,0.0,0.0,AXTI,1wk
1998-06-29 00:00:00-04:00,15.5,15.625,14.125,14.5,216700,0.0,0.0,AXTI,1wk
1998-07-06 00:00:00-04:00,14.875,15.375,13.875,13.875,188600,0.0,0.0,AXTI,1wk
1998-07-13 00:00:00-04:00,14.125,14.625,13.0,14.625,215400,0.0,0.0,AXTI,1wk
1998-07-20 00:00:00-04:00,14.75,15.75,12.25,12.625,319700,0.0,0.0,AXTI,1wk
1998-07-27 00:00:00-04:00,12.5,12.75,11.625,12.125,160500,0.0,0.0,AXTI,1wk
1998-08-03 00:00:00-04:00,13.75,14.5,13.0,13.0,545500,0.0,0.0,AXTI,1wk
1998-08-10 00:00:00-04:00,13.625,13.75,11.375,12.25,241400,0.0,0.0,AXTI,1wk
1998-08-17 00:00:00-04:00,12.0625,12.5,11.3125,11.8125,285200,0.0,0.0,AXTI,1wk
1998-08-24 00:00:00-04:00,11.875,12.125,10.25,10.5,188000,0.0,0.0,AXTI,1wk
1998-08-31 00:00:00-04:00,10.5,11.25,7.625,8.0,286700,0.0,0.0,AXTI,1wk
1998-09-07 00:00:00-04:00,8.125,8.75,7.5,8.0,110300,0.0,0.0,AXTI,1wk
1998-09-14 00:00:00-04:00,8.5,8.5,7.5,7.8125,138800,0.0,0.0,AXTI,1wk
1998-09-21 00:00:00-04:00,7.5,10.25,7.0,9.375,218700,0.0,0.0,AXTI,1wk
1998-09-28 00:00:00-04:00,9.0,9.5,7.03125,7.25,86900,0.0,0.0,AXTI,1wk
1998-10-05 00:00:00-04:00,7.5,7.5,5.9375,6.125,131100,0.0,0.0,AXTI,1wk
1998-10-12 00:00:00-04:00,5.9375,8.125,5.25,8.0,426100,0.0,0.0,AXTI,1wk
1998-10-19 00:00:00-04:00,8.0,9.0,7.375,8.625,223300,0.0,0.0,AXTI,1wk
1998-10-26 00:00:00-05:00,9.0,9.0,7.25,8.25,175800,0.0,0.0,AXTI,1wk
1998-11-02 00:00:00-05:00,8.25,10.125,7.75,9.6875,515300,0.0,0.0,AXTI,1wk
1998-11-09 00:00:00-05:00,9.625,10.0,9.5,9.625,314000,0.0,0.0,AXTI,1wk
1998-11-16 00:00:00-05:00,9.625,11.25,9.5,10.8125,359000,0.0,0.0,AXTI,1wk
1998-11-23 00:00:00-05:00,10.875,10.875,9.125,9.5625,328800,0.0,0.0,AXTI,1wk
1998-11-30 00:00:00-05:00,9.4375,9.4375,7.0,8.0,256400,0.0,0.0,AXTI,1wk
1998-12-07 00:00:00-05:00,7.875,8.25,7.375,7.5625,382200,0.0,0.0,AXTI,1wk
1998-12-14 00:00:00-05:00,7.5,8.125,7.0,7.5,445400,0.0,0.0,AXTI,1wk
1998-12-21 00:00:00-05:00,7.625,9.0625,7.5,8.75,718400,0.0,0.0,AXTI,1wk
1998-12-28 00:00:00-05:00,8.625,9.1875,8.1875,9.125,368700,0.0,0.0,AXTI,1wk
1999-01-04 00:00:00-05:00,9.25,11.375,8.75,11.125,876100,0.0,0.0,AXTI,1wk
1999-01-11 00:00:00-05:00,11.125,17.0,11.125,15.375,1971600,0.0,0.0,AXTI,1wk
1999-01-18 00:00:00-05:00,16.0625,17.1875,15.0625,15.375,2301900,0.0,0.0,AXTI,1wk
1999-01-25 00:00:00-05:00,15.0,19.875,14.5,15.625,2565000,0.0,0.0,AXTI,1wk
1999-02-01 00:00:00-05:00,16.125,17.875,15.625,16.5625,1626500,0.0,0.0,AXTI,1wk
1999-02-08 00:00:00-05:00,16.5,18.1875,14.3125,16.75,1239800,0.0,0.0,AXTI,1wk
1999-02-15 00:00:00-05:00,17.25,18.0,16.0625,16.0625,313300,0.0,0.0,AXTI,1wk
1999-02-22 00:00:00-05:00,16.0,16.6875,14.0,14.875,259800,0.0,0.0,AXTI,1wk
1999-03-01 00:00:00-05:00,14.75,15.625,14.5,15.4375,525400,0.0,0.0,AXTI,1wk
1999-03-08 00:00:00-05:00,15.375,19.125,15.25,19.125,2371500,0.0,0.0,AXTI,1wk
1999-03-15 00:00:00-05:00,19.125,23.0,18.4375,21.125,1538900,0.0,0.0,AXTI,1wk
1999-03-22 00:00:00-05:00,21.75,22.3125,20.6875,21.375,677100,0.0,0.0,AXTI,1wk
1999-03-29 00:00:00-05:00,21.75,22.75,21.3125,22.5,780500,0.0,0.0,AXTI,1wk
1999-04-05 00:00:00-04:00,22.5,22.625,18.875,21.75,740700,0.0,0.0,AXTI,1wk
1999-04-12 00:00:00-04:00,19.9375,22.5,19.0,21.75,467600,0.0,0.0,AXTI,1wk
1999-04-19 00:00:00-04:00,22.375,24.6875,20.75,22.0,956000,0.0,0.0,AXTI,1wk
