datetime,open,high,low,close,volume,dividends,stock_splits,ticker,interval
2026-04-09 09:30:00-04:00,7.360000133514404,7.360000133514404,7.360000133514404,7.360000133514404,0,0.0,0.0,BBCP,1m
2026-04-09 09:34:00-04:00,7.349999904632568,7.400000095367432,7.349999904632568,7.400000095367432,665,0.0,0.0,BBCP,1m
2026-04-09 09:36:00-04:00,7.440000057220459,7.5,7.420000076293945,7.5,2416,0.0,0.0,BBCP,1m
2026-04-09 10:00:00-04:00,7.380000114440918,7.380000114440918,7.380000114440918,7.380000114440918,485,0.0,0.0,BBCP,1m
2026-04-09 10:07:00-04:00,7.389999866485596,7.400000095367432,7.389999866485596,7.400000095367432,456,0.0,0.0,BBCP,1m
2026-04-09 10:13:00-04:00,7.400000095367432,7.409999847412109,7.400000095367432,7.409999847412109,1143,0.0,0.0,BBCP,1m
2026-04-09 10:35:00-04:00,7.385000228881836,7.400000095367432,7.385000228881836,7.400000095367432,978,0.0,0.0,BBCP,1m
2026-04-09 10:38:00-04:00,7.391499996185303,7.391499996185303,7.391499996185303,7.391499996185303,424,0.0,0.0,BBCP,1m
2026-04-09 10:40:00-04:00,7.409999847412109,7.409999847412109,7.409999847412109,7.409999847412109,0,0.0,0.0,BBCP,1m
2026-04-09 10:47:00-04:00,7.40500020980835,7.409999847412109,7.40500020980835,7.409999847412109,737,0.0,0.0,BBCP,1m
2026-04-09 10:54:00-04:00,7.389999866485596,7.400000095367432,7.389999866485596,7.400000095367432,805,0.0,0.0,BBCP,1m
2026-04-09 10:56:00-04:00,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,264,0.0,0.0,BBCP,1m
2026-04-09 10:58:00-04:00,7.389999866485596,7.389999866485596,7.389999866485596,7.389999866485596,426,0.0,0.0,BBCP,1m
2026-04-09 11:03:00-04:00,7.389999866485596,7.389999866485596,7.389999866485596,7.389999866485596,515,0.0,0.0,BBCP,1m
2026-04-09 11:10:00-04:00,7.380000114440918,7.380000114440918,7.380000114440918,7.380000114440918,796,0.0,0.0,BBCP,1m
2026-04-09 11:13:00-04:00,7.369999885559082,7.369999885559082,7.369999885559082,7.369999885559082,923,0.0,0.0,BBCP,1m
2026-04-09 11:18:00-04:00,7.369999885559082,7.369999885559082,7.369999885559082,7.369999885559082,1151,0.0,0.0,BBCP,1m
2026-04-09 11:33:00-04:00,7.400000095367432,7.429999828338623,7.389999866485596,7.394999980926514,3230,0.0,0.0,BBCP,1m
2026-04-09 11:34:00-04:00,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,349,0.0,0.0,BBCP,1m
2026-04-09 11:37:00-04:00,7.400000095367432,7.400000095367432,7.385000228881836,7.385000228881836,550,0.0,0.0,BBCP,1m
2026-04-09 11:42:00-04:00,7.385000228881836,7.409999847412109,7.385000228881836,7.409999847412109,1289,0.0,0.0,BBCP,1m
2026-04-09 11:44:00-04:00,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,616,0.0,0.0,BBCP,1m
2026-04-09 11:50:00-04:00,7.400000095367432,7.409999847412109,7.393799781799316,7.393799781799316,996,0.0,0.0,BBCP,1m
2026-04-09 11:55:00-04:00,7.409999847412109,7.409999847412109,7.409999847412109,7.409999847412109,587,0.0,0.0,BBCP,1m
2026-04-09 12:00:00-04:00,7.409999847412109,7.409999847412109,7.409999847412109,7.409999847412109,275,0.0,0.0,BBCP,1m
2026-04-09 12:01:00-04:00,7.420000076293945,7.420000076293945,7.414999961853027,7.414999961853027,1845,0.0,0.0,BBCP,1m
2026-04-09 12:03:00-04:00,7.425000190734863,7.449999809265137,7.425000190734863,7.449999809265137,2149,0.0,0.0,BBCP,1m
2026-04-09 12:04:00-04:00,7.440000057220459,7.440000057220459,7.420000076293945,7.420000076293945,894,0.0,0.0,BBCP,1m
2026-04-09 12:08:00-04:00,7.420000076293945,7.420000076293945,7.420000076293945,7.420000076293945,847,0.0,0.0,BBCP,1m
2026-04-09 12:12:00-04:00,7.429999828338623,7.440000057220459,7.429999828338623,7.434999942779541,2730,0.0,0.0,BBCP,1m
2026-04-09 12:15:00-04:00,7.429999828338623,7.440000057220459,7.429999828338623,7.440000057220459,1989,0.0,0.0,BBCP,1m
2026-04-09 12:19:00-04:00,7.46999979019165,7.46999979019165,7.46999979019165,7.46999979019165,739,0.0,0.0,BBCP,1m
2026-04-09 12:20:00-04:00,7.46999979019165,7.46999979019165,7.46999979019165,7.46999979019165,628,0.0,0.0,BBCP,1m
2026-04-09 12:22:00-04:00,7.46999979019165,7.46999979019165,7.46999979019165,7.46999979019165,766,0.0,0.0,BBCP,1m
2026-04-09 12:27:00-04:00,7.480000019073486,7.480000019073486,7.480000019073486,7.480000019073486,251,0.0,0.0,BBCP,1m
2026-04-09 12:31:00-04:00,7.489999771118164,7.489999771118164,7.489999771118164,7.489999771118164,412,0.0,0.0,BBCP,1m
2026-04-09 12:36:00-04:00,7.5,7.5,7.5,7.5,558,0.0,0.0,BBCP,1m
2026-04-09 12:41:00-04:00,7.5,7.5,7.5,7.5,624,0.0,0.0,BBCP,1m
2026-04-09 12:49:00-04:00,7.525000095367432,7.525000095367432,7.510000228881836,7.510000228881836,2941,0.0,0.0,BBCP,1m
2026-04-09 12:52:00-04:00,7.5,7.5,7.5,7.5,432,0.0,0.0,BBCP,1m
2026-04-09 12:55:00-04:00,7.494999885559082,7.494999885559082,7.494999885559082,7.494999885559082,867,0.0,0.0,BBCP,1m
2026-04-09 13:01:00-04:00,7.510000228881836,7.510000228881836,7.510000228881836,7.510000228881836,197,0.0,0.0,BBCP,1m
2026-04-09 13:03:00-04:00,7.519899845123291,7.519899845123291,7.519899845123291,7.519899845123291,271,0.0,0.0,BBCP,1m
2026-04-09 13:04:00-04:00,7.510000228881836,7.510000228881836,7.510000228881836,7.510000228881836,542,0.0,0.0,BBCP,1m
2026-04-09 13:08:00-04:00,7.519999980926514,7.519999980926514,7.519999980926514,7.519999980926514,229,0.0,0.0,BBCP,1m
2026-04-09 13:10:00-04:00,7.519999980926514,7.534999847412109,7.519999980926514,7.534999847412109,2450,0.0,0.0,BBCP,1m
2026-04-09 13:14:00-04:00,7.51200008392334,7.51200008392334,7.51200008392334,7.51200008392334,1896,0.0,0.0,BBCP,1m
2026-04-09 13:15:00-04:00,7.519999980926514,7.519999980926514,7.519999980926514,7.519999980926514,735,0.0,0.0,BBCP,1m
